Model,Model_Type,R2,RMSE,MAE,MAPE,Run_ID
RandomForestRegressor,RandomForestRegressor,0.44009005086131925,0.6232447575212949,0.4552583333333333,8.476669642857143,eac02ca03fb04e20ab705d3f731b9fa2
XGBRegressor,XGBRegressor,0.4372070141971103,0.6248472744956111,0.4543634569644928,8.31779273294267,8b20bcd508c141dcaecf48ce2e98e672
GradientBoostingRegressor,GradientBoostingRegressor,0.37887899755035903,0.65642883349467,0.5074730570840393,9.350325464266938,733833a23db74be4b2ac17f8f0ac9a19
LGBMRegressor,LGBMRegressor,0.3608283202859245,0.6658989097292785,0.5173407430569575,9.545583640634948,58c64b9f112f40fcb56c302dbfd4a82b
ElasticNet,ElasticNet,0.3510248191707962,0.6709861962852739,0.5307001897200336,9.76984137017857,ee011528bb9447f0baf48c0f16b7b9e9
