Model,Model_Type,R2,RMSE,MAE,MAPE,Run_ID
RandomForestRegressor,RandomForestRegressor,0.4068265920531072,0.5747731919829093,0.41931666666666667,7.73765873015873,9a4f96561f0a4239a36151b0df4699a2
XGBRegressor,XGBRegressor,0.3881758341949283,0.5837393641378816,0.41184354305267334,7.486606367571014,4b2ed68d6fda4eb486f3c0d2319c8fc5
GradientBoostingRegressor,GradientBoostingRegressor,0.33704544158499505,0.6076416689490994,0.4627383842382306,8.45654750623165,674e7de3f37541edaf86df7bcc0376e5
LGBMRegressor,LGBMRegressor,0.3172270402178311,0.6166572245743014,0.4787948026246206,8.720453195153015,a0e0c40f0166471abbff5aead4b5f36b
ElasticNet,ElasticNet,0.2506443866857633,0.6460254835242809,0.5082403624193047,9.200157514577366,8b7009905e9f42ddac524f7bfdf4ea2e
