Model,Model_Type,R2,RMSE,MAE,MAPE,Run_ID
XGBRegressor,XGBRegressor,0.5012147455220797,0.5608332920519042,0.3987909990549088,7.409732910706884,f3d12061537d4543a14355433bd179c5
RandomForestRegressor,RandomForestRegressor,0.49016254360926104,0.567012786451946,0.40957499999999997,7.7245535714285705,855f7e19a37d46e5b7e17ae7c423fb1f
LGBMRegressor,LGBMRegressor,0.44162367059454366,0.5933903549292664,0.45109382687234856,8.457682231907334,b85f2c0b5f9348bc98aaa6a4b81ec4ef
GradientBoostingRegressor,GradientBoostingRegressor,0.4383540827281631,0.5951251258614615,0.4489875218853504,8.410461081715578,c07d6c0a550942849402f73afb351a61
ElasticNet,ElasticNet,0.36039804719793245,0.6350850269349639,0.49620748866148673,9.312236543144609,845b1277ce214b4ea0e297bb70546da0
