Model,Model_Type,R2,RMSE,MAE,MAPE,Run_ID
RandomForestRegressor,RandomForestRegressor,0.41104572732247946,0.631301572433234,0.46564912222862376,8.418622280682419,092731bf605946cfa2ee0653fe08bb8d
XGBRegressor,XGBRegressor,0.39614294923716886,0.6392388381071981,0.4744551086425781,8.579961698537781,dbeb9f53b18643b292c681c6cd064573
GradientBoostingRegressor,GradientBoostingRegressor,0.34860101565655677,0.6639259156423672,0.5078157658495475,9.12949763905465,444b697558124a5b84c529eef1394f27
LGBMRegressor,LGBMRegressor,0.34590008039468967,0.6653009300101841,0.5265968986300733,9.481979704890147,ec98d4cf4b044868805038e71259ddd9
ElasticNet,ElasticNet,0.30190881139478287,0.6873092057140087,0.5426492645520548,9.745284370673922,d8b29a0aeccf476086ae7c9804badf4d
